name,url,extents
doi1m2011_41111h4nw_usda,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/imageryBaseMapsEarthCover/orthoimagery/2011_1m_idaho/41/doi1m2011_41111h4nw_usda.tif,"[-111.5000,41.9375,-111.4375,42.0000]"
doi1m2011_41111h5ne_usda,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/imageryBaseMapsEarthCover/orthoimagery/2011_1m_idaho/41/doi1m2011_41111h5ne_usda.tif,"[-111.5625,41.9375,-111.5000,42.0000]"
doi1m2011_41111h5nw_usda,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/imageryBaseMapsEarthCover/orthoimagery/2011_1m_idaho/41/doi1m2011_41111h5nw_usda.tif,"[-111.6250,41.9375,-111.5625,42.0000]"
doi1m2011_41111h6ne_usda,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/imageryBaseMapsEarthCover/orthoimagery/2011_1m_idaho/41/doi1m2011_41111h6ne_usda.tif,"[-111.6875,41.9375,-111.6250,42.0000]"
doi1m2011_41111h6nw_usda,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/imageryBaseMapsEarthCover/orthoimagery/2011_1m_idaho/41/doi1m2011_41111h6nw_usda.tif,"[-111.7500,41.9375,-111.6875,42.0000]"
doi1m2011_41111h7ne_usda,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/imageryBaseMapsEarthCover/orthoimagery/2011_1m_idaho/41/doi1m2011_41111h7ne_usda.tif,"[-111.8125,41.9375,-111.7500,42.0000]"
doi1m2011_41111h7nw_usda,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/imageryBaseMapsEarthCover/orthoimagery/2011_1m_idaho/41/doi1m2011_41111h7nw_usda.tif,"[-111.8750,41.9375,-111.8125,42.0000]"
doi1m2011_41111h8ne_usda,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/imageryBaseMapsEarthCover/orthoimagery/2011_1m_idaho/41/doi1m2011_41111h8ne_usda.tif,"[-111.9375,41.9375,-111.8750,42.0000]"
doi1m2011_41111h8nw_usda,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/imageryBaseMapsEarthCover/orthoimagery/2011_1m_idaho/41/doi1m2011_41111h8nw_usda.tif,"[-112.0000,41.9375,-111.9375,42.0000]"
doi1m2011_41112h1ne_usda,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/imageryBaseMapsEarthCover/orthoimagery/2011_1m_idaho/41/doi1m2011_41112h1ne_usda.tif,"[-112.0625,41.9375,-112.0000,42.0000]"
doi1m2011_41112h1nw_usda,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/imageryBaseMapsEarthCover/orthoimagery/2011_1m_idaho/41/doi1m2011_41112h1nw_usda.tif,"[-112.1250,41.9375,-112.0625,42.0000]"
doi1m2011_41112h2ne_usda,http://cloud.insideidaho.org/webApps/util/zip.ashx?fn=http://cloud.insideidaho.org/data/imageryBaseMapsEarthCover/orthoimagery/2011_1m_idaho/41/doi1m2011_41112h2ne_usda.tif,"[-112.1875,41.9375,-112.1250,42.0000]"
